Probe	Chromosome	Start	End	Strand
Pak7	2	135906840	136213703	-
Gm14218	2	135962742	135965897	+
Gm11035	2	136270138	136270344	-
Ankrd5	2	136327646	136387827	+
BC034902	2	136327734	136341248	+
Snap25	2	136539189	136608164	+
Mkks	2	136699516	136717125	-
2210009G21Rik	2	136716954	136897686	+
Jag1	2	136907192	136942380	-
Gm14055	2	137114239	137154862	+
Gm14064	2	137489171	137654980	+
Gm14062	2	137695782	137702567	-
Btbd3	2	138082301	138415028	+
Gm14061	2	138415128	138474858	+
Gm14066	2	139082612	139503450	-
Sptlc3	2	139319649	139463410	+
Ism1	2	139503914	139584317	+
Tasp1	2	139659216	139892541	-
Esf1	2	139945619	139996300	-
Gm17374	2	139977779	139979268	+
2310003L22Rik	2	139996382	140030988	+
Sel1l2	2	140055591	140215442	-
Macrod2	2	140221045	142218702	+
Flrt3	2	140476650	140497205	-
Gm14105	2	141055406	141061162	-
Gm14077	2	141056167	141112727	-
Kif16b	2	142443210	142727267	-
4930511F01Rik	2	142728701	142729308	+
Snrpb2	2	142888775	142898589	+
Otor	2	142904209	142907449	+
C630020P19Rik	2	143361212	143373573	-
Pcsk2	2	143371892	143642021	+
Gm12360	2	143573319	143621701	-
Bfsp1	2	143652264	143688909	-
Dstn	2	143741056	143769060	+
Rrbp1	2	143773131	143836999	-
Banf2	2	143858795	143899715	+
Gm12357	2	143884874	143894542	-
Gm5535	2	143998886	144015026	-
4930444E06Rik	2	144068977	144070585	+
Snx5	2	144075859	144096642	-
8430406I07Rik	2	144096399	144106963	+
Ovol2	2	144130911	144157882	-
1700108N11Rik	2	144157195	144158375	+
Csrp2bp	2	144194719	144233412	+
Zfp133-ps	2	144285016	144326003	+
6330439K17Rik	2	144296293	144353150	-
Polr3f	2	144353454	144367731	+
Rbbp9	2	144368001	144376605	-
Sec23b	2	144381965	144416485	+
Gm561	2	144419790	144421102	+
Dtd1	2	144425633	144594494	+
1700010M22Rik	2	144649402	144650151	+
Slc24a3	2	144993490	145467902	+
Gm14093	2	145163384	145205117	+
Gm14092	2	145376388	145380718	-
BC039771	2	145501103	145579408	+
Rin2	2	145610470	145713352	+
Naa20	2	145727835	145742161	+
Crnkl1	2	145743215	145760750	-
4930529M08Rik	2	145760520	146040775	+
Insm1	2	146047657	146050752	+
Ralgapa2	2	146065615	146337762	-
A930019D19Rik	2	146085022	146092896	+
4933406D12Rik	2	146368667	146371844	+
Gm14114	2	146654063	146665468	-
Plk1s1	2	146681600	146795833	+
Xrn2	2	146838732	146903736	+
Nkx2-4	2	146909052	146911181	-
Nkx2-2	2	147003282	147019979	-
Nkx2-2as	2	147009819	147157417	+
6430503K07Rik	2	147013160	147014143	+
Gm14110	2	147149298	147150823	-
AI646519	2	147187277	147188145	-
Pax1	2	147187661	147219031	+
A530006G24Rik	2	147536429	147543368	+
9030622O22Rik	2	147770476	147865939	-
Foxa2	2	147868613	147872705	-
Sstr4	2	148221113	148226239	+
Thbd	2	148230207	148233924	-
Cd93	2	148262376	148269299	-
Gm14120	2	148294626	148304516	+
Nxt1	2	148498337	148501763	+
Gzf1	2	148506759	148518685	+
Napb	2	148519721	148558203	-
Cstl1	2	148576094	148581866	+
Cst11	2	148594345	148597233	-
8030411F24Rik	2	148607745	148611673	+
Cst12	2	148615097	148619282	+
Cst8	2	148624521	148631331	+
Cst13	2	148645817	148656146	+
Cst9	2	148660883	148664474	+
9230104L09Rik	2	148672447	148690774	-
Cst3	2	148697458	148701428	-
Gm1330	2	148816079	148828987	-
Gm10750	2	148841468	148842973	-
Gm14135	2	149083013	149087881	+
Cst10	2	149230793	149236029	+
Gm14133	2	149569663	149624479	-
Tmem90b	2	149654947	149830128	+
C530025M09Rik	2	149656260	149656949	-
Zfp120	2	149940142	149962444	-
Gm10770	2	150004618	150005415	-
Gm14139	2	150007491	150019015	+
Zfp937	2	150043809	150066461	+
Gm10749	2	150080254	150081327	-
Gm14124	2	150083253	150096036	+
Gm14125	2	150131264	150132252	+
3300002I08Rik	2	150136671	150188501	-
Gm10130	2	150149438	150151944	+
Zfp442	2	150232877	150277222	-
Zfp345	2	150296727	150310827	-
Cst7	2	150396151	150404680	+
2310001A20Rik	2	150408816	150434303	-
Gm14123	2	150431969	150435990	+
Acss1	2	150443841	150494236	-
E130215H24Rik	2	150493230	150494671	+
Vsx1	2	150506438	150515096	-
Gm14136	2	150530272	150532612	-
Gm16962	2	150574017	150576498	-
Entpd6	2	150574778	150597411	+
Pygb	2	150612471	150657494	+
Abhd12	2	150658229	150730477	-
Gins1	2	150731136	150757016	+
Ninl	2	150760255	150865118	-
Nanp	2	150855421	150865134	-
Gm14151	2	150912522	150918086	-
Gm14147	2	150923981	150929554	+
Gm14145	2	150930628	150932062	+
Gm14149	2	151030931	151057350	+
Gm14144	2	151090339	151104572	-
4930442J19Rik	2	151127710	151141983	+
Gm14152	2	151206386	151258138	-
Gm14146	2	151287781	151295349	-
4921509C19Rik	2	151296278	151301889	-
Nsfl1c	2	151319918	151337150	+
Gm14167	2	151366467	151368084	-
Fkbp1a	2	151368219	151387428	+
Sdcbp2	2	151398358	151415741	+
Snph	2	151416285	151458329	-
Rad21l	2	151471140	151494269	-
BC052486	2	151505097	151512075	-
5430405G05Rik	2	151527744	151537893	+
Psmf1	2	151541548	151569922	-
4930556L07Rik	2	151573314	151575714	-
Gm14155	2	151654803	151657844	+
Rspo4	2	151668663	151700404	+
Gm14157	2	151691051	151692696	-
Angpt4	2	151736943	151771073	+
Gm14154	2	151773009	151776377	-
Fam110a	2	151795134	151805955	-
2310046K01Rik	2	151822247	151834994	+
AA387200	2	151900591	151902544	-
Scrt2	2	151907265	151921538	+
Srxn1	2	151931252	151937112	+
Tcf15	2	151969297	151974833	+
Csnk2a1	2	152052575	152107588	+
Tbc1d20	2	152119564	152139732	+
Rbck1	2	152142070	152158389	-
Trib3	2	152163158	152169768	-
Gm14164	2	152171405	152201060	+
Nrsn2	2	152194491	152202374	-
Sox12	2	152219347	152223782	-
Zcchc3	2	152237692	152240780	-
6820408C15Rik	2	152241323	152270066	+
Defb23	2	152284791	152290356	-
Defb20	2	152302799	152305670	+
Defb22	2	152311399	152315874	-
Defb26	2	152333534	152337428	-
Defb28	2	152343991	152347183	+
Defb29	2	152364450	152365834	-
Gm14161	2	152375450	152379668	-
Gm17416	2	152395074	152395274	+
Defb21	2	152398480	152400680	+
Defb19	2	152401822	152406048	-
Defb45	2	152418927	152425135	-
Defb36	2	152430063	152438465	+
Defb25	2	152448092	152448789	-
Rem1	2	152452687	152460934	+
1700030C14Rik	2	152478619	152480066	-
H13	2	152495197	152534406	+
Mcts2	2	152512884	152513676	+
Gm17559	2	152520469	152522428	-
Id1	2	152561987	152563146	+
Cox4i2	2	152579909	152590773	+
Bcl2l1	2	152593052	152657464	-
Tpx2	2	152673700	152721057	+
Mylk2	2	152737088	152748804	+
Foxs1	2	152757634	152758944	-
Dusp15	2	152766731	152777434	-
Ttll9	2	152788221	152834218	+
Gm14199	2	152815753	152817367	-
Pdrg1	2	152834626	152841163	-
Xkr7	2	152857588	152881511	+
BC020535	2	152891691	152907471	+
Hck	2	152934204	152977177	+
Tm9sf4	2	152987039	153036202	+
Tspyl3	2	153048116	153051177	-
Plagl2	2	153053495	153067162	-
Pofut1	2	153067269	153095983	+
Kif3b	2	153117149	153159126	+
2500004C02Rik	2	153166893	153171809	-
Asxl1	2	153171581	153229743	+
8430427H17Rik	2	153233198	153355707	-
4930404H24Rik	2	153318526	153319577	+
Commd7	2	153442669	153458517	-
7530422B04Rik	2	153474426	153476022	-
Dnmt3b	2	153475186	153513466	+
Mapre1	2	153567010	153599046	+
Efcab8	2	153606615	153620918	+
Gm14495	2	153624355	153640339	+
Sun5	2	153681924	153696820	-
Bpifb2	2	153700781	153721006	+
Bpifb6	2	153726124	153738531	+
Bpifb3	2	153743966	153758732	+
Bpifb4	2	153763948	153789837	+
Bpifa6	2	153800681	153826231	+
Bpifa2e	2	153834001	153841815	+
Bpifa3	2	153956072	153964092	+
Bpifa1	2	153968616	153974955	+
Bpifa5	2	153988343	153994186	+
Bpifb1	2	154016554	154046105	+
Bpifb5	2	154049478	154066638	+
Bpifb9a	2	154083590	154096981	+
Bpifb9b	2	154132963	154146382	+
Cdk5rap1	2	154161116	154198746	-
Snta1	2	154202049	154233835	-
Cbfa2t2	2	154262217	154365092	+
Necab3	2	154370135	154384626	-
1700003F12Rik	2	154372821	154375739	+
1700007I08Rik	2	154377512	154379012	+
E2f1	2	154385143	154395628	-
Pxmp4	2	154411494	154429444	-
Zfp341	2	154439033	154472557	+
Gm14198	2	154455738	154458372	-
Chmp4b	2	154477441	154520521	+
Gm14216	2	154548088	154564187	-
Raly	2	154616832	154692997	+
a	2	154617138	154876748	+
Eif2s2	2	154697146	154718671	-
Gm14226	2	154844002	154852840	+
Ahcy	2	154885046	154900233	-
2310005A03Rik	2	154923525	154925817	-
Itch	2	154959245	155052591	+
Dynlrb1	2	155062269	155076013	+
Pigu	2	155072732	155183166	-
Map1lc3a	2	155102033	155103809	+
Trp53inp2	2	155206795	155215586	+
Ncoa6	2	155216401	155299630	-
Ggt7	2	155316115	155343973	-
Acss2	2	155343684	155411460	+
4930471I20Rik	2	155372776	155382666	-
Gss	2	155388917	155418546	-
Gm14256	2	155416867	155418587	+
0610038P03Rik	2	155418055	155420691	+
Gm14257	2	155419301	155420211	-
Myh7b	2	155436948	155460043	+
Trpc4ap	2	155460007	155518120	-
Edem2	2	155527413	155555211	-
Gm17581	2	155561546	155561602	-
Procr	2	155576853	155581207	+
Mmp24	2	155601078	155644102	+
BC029722	2	155643466	155645162	-
Eif6	2	155645568	155652661	-
Gm16098	2	155652524	155653689	+
Fam83c	2	155653284	155660590	-
Uqcc	2	155672630	155756046	-
Gm15557	2	155766464	155768486	+
Gdf5	2	155766759	155771103	-
Cep250	2	155782194	155824636	+
6430550D23Rik	2	155799015	155833713	-
Ergic3	2	155833781	155844015	+
Fer1l4	2	155844875	155878683	-
Spag4	2	155890911	155896353	+
Cpne1	2	155897581	155937695	-
Nfs1	2	155904665	155969922	-
Rbm12	2	155917694	155937714	-
Romo1	2	155969775	155971533	+
Rbm39	2	155972975	156005974	-
Phf20	2	156022202	156135688	+
Scand1	2	156137583	156138440	-
4921517L17Rik	2	156138035	156201374	+
Gm14252	2	156158053	156165117	-
Gm14170	2	156203661	156204704	-
2900097C17Rik	2	156218227	156218565	-
Epb4.1l1	2	156246645	156368950	+
Gm14225	2	156270769	156273344	-
Gm14224	2	156277642	156281387	-
0610011L14Rik	2	156373320	156394708	+
Gm14168	2	156397528	156403193	+
Gm14169	2	156434942	156439158	-
Dlgap4	2	156439441	156590099	+
Gm14174	2	156440183	156441184	-
4930405A21Rik	2	156540276	156546645	-
Myl9	2	156601156	156607394	+
Gm14230	2	156658785	156665628	-
Tgif2	2	156665813	156681306	+
5430405H02Rik	2	156668864	156688699	-
4930518I15Rik	2	156682352	156683682	-
1110008F13Rik	2	156688864	156699299	+
Sla2	2	156698193	156712928	-
Ndrg3	2	156753081	156817792	-
Dsn1	2	156821001	156832890	-
9830001H06Rik	2	156841535	156904990	-
Gm1332	2	156912791	156922218	+
Samhd1	2	156923265	156961001	-
Rbl1	2	156971629	157030270	-
4922505G16Rik	2	157034286	157105285	-
Rpn2	2	157104753	157152055	+
Ghrh	2	157155233	157173242	-
Manbal	2	157193330	157222499	+
Src	2	157244180	157297598	+
Gm14286	2	157370002	157371205	-
Blcap	2	157382098	157397010	-
Nnat	2	157385814	157388258	+
2410019O14Rik	2	157421319	157423056	-
Ctnnbl1	2	157563137	157717350	+
Vstm2l	2	157740389	157770455	+
Tti1	2	157807539	157854169	-
Rprd1b	2	157854233	157958033	+
Tgm2	2	157942138	157972172	-
RP23-396G1.3	2	157942890	157943641	+
D630003M21Rik	2	158008269	158054958	-
1700060C20Rik	2	158017745	158021478	+
Bpi	2	158083830	158110267	+
Lbp	2	158132229	158158588	+
9430008C03Rik	2	158181043	158187316	-
Snhg11	2	158201374	158211881	+
Ralgapb	2	158235584	158324989	+
Adig	2	158328348	158333934	+
Arhgap40	2	158338532	158376498	+
Gm14204	2	158421208	158436459	-
Slc32a1	2	158436494	158441484	+
Gm14205	2	158436646	158437556	-
Actr5	2	158450624	158464947	+
Ppp1r16b	2	158491134	158592070	+
Fam83d	2	158593829	158612373	+
Dhx35	2	158620543	158683950	+
Gm14223	2	159737509	159773112	-
4933416E03Rik	2	159773077	159807024	+
9130015L21Rik	2	159842389	159866355	+
Gm826	2	160137129	160159898	-
Mafb	2	160189413	160192801	-
Gm14221	2	160394115	160445707	-
Gm14222	2	160409093	160410927	+
Top1	2	160471624	160548500	+
Gm17299	2	160544101	160546269	-
Plcg1	2	160557036	160601496	+
Zhx3	2	160569663	160698734	-
Gm16751	2	160666572	160713758	-
Lpin3	2	160706406	160731738	+
Emilin3	2	160732173	160738064	-
Gm14228	2	160751277	160752384	-
Chd6	2	160772714	160934811	-
Gm14243	2	161004800	161042313	+
Gm14242	2	161032425	161033016	-
Gm14241	2	161157050	161157989	+
Ptprt	2	161347726	162486883	-
C330008G21Rik	2	162216549	162219681	+
9430021M05Rik	2	162486899	162492845	+
Gm14246	2	162505191	162506265	+
Gm14255	2	162692815	162693930	-
Srsf6	2	162757264	162762857	+
L3mbtl1	2	162769201	162800258	+
Sgk2	2	162813066	162839863	+
Ift52	2	162843090	162871877	+
Mybl2	2	162880423	162910424	+
Gtsf1l	2	162912767	162913590	-
Gm11454	2	162948342	162969695	+
Gm14254	2	162978631	162981842	-
Tox2	2	163028861	163149906	+
Jph2	2	163161978	163223729	-
3230401D17Rik	2	163231558	163250433	-
Gdap1l1	2	163264212	163281060	+
Fitm2	2	163292115	163298365	-
2310001K24Rik	2	163298327	163298647	+
R3hdml	2	163318054	163328348	+
0610008F07Rik	2	163319543	163367456	-
Hnf4a	2	163332544	163398646	+
Ttpal	2	163428050	163444749	+
Serinc3	2	163449008	163470867	-
0610039K10Rik	2	163470586	163471536	+
Pkig	2	163484122	163551894	+
Gm16316	2	163510740	163518015	-
Ada	2	163552320	163575975	-
Wisp2	2	163646597	163658882	+
Kcnk15	2	163679387	163685482	+
Rims4	2	163685487	163744419	-
Ywhab	2	163820696	163844324	+
Pabpc1l	2	163851186	163876274	+
Tomm34	2	163879276	163896905	-
Stk4	2	163896058	163981260	+
Gm11455	2	163961439	163966155	+
Kcns1	2	163989355	163996849	-
Wfdc5	2	164002063	164008478	-
A730032A03Rik	2	164003320	164022300	+
Wfdc12	2	164014967	164016344	-
Wfdc15a	2	164024599	164025866	-
Wfdc15b	2	164040190	164047396	-
Svs2	2	164061665	164064202	-
Svs3b	2	164080099	164082376	-
Svs4	2	164101688	164104195	-
Svs3a	2	164115004	164117236	+
Svs6	2	164142487	164144189	+
Svs5	2	164158476	164160132	+
Slpi	2	164179806	164214831	-
Matn4	2	164215129	164230660	-
Rbpjl	2	164228641	164240948	+
Sdc4	2	164249747	164269387	-
Sys1	2	164282464	164305138	+
Gm14302	2	164285396	164286455	-
Dbndd2	2	164286467	164318819	+
Trp53tg5	2	164295801	164299224	-
Pigt	2	164323020	164333801	+
Gm14317	2	164376030	164385230	+
Wfdc2	2	164387913	164394010	+
Spint3	2	164395195	164398959	-
Wfdc6a	2	164405019	164410947	-
Spinlw1	2	164413843	164419094	-
Wfdc8	2	164421958	164439126	-
Wfdc6b	2	164439022	164443712	+
Wfdc16	2	164460207	164464302	-
Wfdc9	2	164475131	164482083	-
Wfdc10	2	164481440	164482868	+
Wfdc11	2	164488394	164499587	-
Wfdc13	2	164510607	164513206	+
Spint4	2	164524001	164527953	+
Gm14316	2	164540805	164543568	+
Wfdc3	2	164556680	164571431	-
Dnttip1	2	164571483	164594107	+
Gm11457	2	164579742	164595166	-
Ube2c	2	164595398	164604322	+
Tnnc2	2	164602661	164605467	-
Snx21	2	164611323	164619316	+
Acot8	2	164618268	164630382	-
Zswim3	2	164630598	164647630	+
Zswim1	2	164648186	164652371	+
1700020C07Rik	2	164651889	164654037	-
Neurl2	2	164656232	164658956	-
Ctsa	2	164658373	164666532	+
Pltp	2	164665018	164683211	-
Pcif1	2	164704804	164719954	+
Zfp335	2	164717382	164737257	-
Gm11458	2	164736854	164745453	+
Mmp9	2	164766280	164781350	+
Gm11459	2	164786302	164788252	+
Slc12a5	2	164786316	164825228	+
Ncoa5	2	164825857	164860367	-
Cd40	2	164881127	164898448	+
1700025C18Rik	2	164904193	164916250	-
Cdh22	2	164937007	165060353	-
Gm14397	2	164984912	164989469	+
Slc35c2	2	165102054	165113369	-
Elmo2	2	165113531	165151979	-
Zfp663	2	165176797	165194229	-
Zfp334	2	165199764	165213759	-
4833422F24Rik	2	165219260	165225905	-
Slc13a3	2	165230528	165298730	-
Gm14437	2	165267764	165275985	+
2810408M09Rik	2	165315610	165318824	-
Slc2a10	2	165329287	165345417	+
Eya2	2	165480798	165597227	+
Zmynd8	2	165609654	165724516	-
BC046401	2	165683184	165684534	+
Gm11465	2	165705525	165707556	+
Gm11463	2	165802257	165811424	-
Gm11464	2	165806226	165818017	-
Ncoa3	2	165818136	165898742	+
Sulf2	2	165898589	165981163	-
Gm11466	2	166015293	166016362	-
Gm11467	2	166032730	166034127	-
Gm11468	2	166099408	166120331	+
Gm14268	2	166206328	166223687	-
5031425F14Rik	2	166272951	166284732	+
Gm14267	2	166327601	166331084	-
Prex1	2	166391842	166539332	-
Trp53rk	2	166618031	166625005	+
Arfgef2	2	166631088	166723552	+
Cse1l	2	166731540	166771889	+
Gm17096	2	166769039	166769808	+
Stau1	2	166773049	166821799	-
Ddx27	2	166840693	166860447	+
Znfx1	2	166861293	166888515	-
1500012F01Rik	2	166888434	166891362	+
Gm14290	2	166924294	166927326	-
Kcnb1	2	166928878	167015655	-
1110018N20Rik	2	167014202	167018308	+
Ptgis	2	167017305	167066104	-
Gm14291	2	167027076	167028299	+
Gm17544	2	167073817	167074078	+
B4galt5	2	167123944	167174683	-
Slc9a8	2	167247212	167302500	+
Spata2	2	167306633	167318387	-
Rnf114	2	167318145	167341673	+
Snai1	2	167363695	167368314	+
Gm11476	2	167378814	167433345	+
Ube2v1	2	167433138	167457595	-
Tmem189	2	167433350	167515322	-
Gm14320	2	167487609	167493197	+
Cebpb	2	167514415	167515918	+
A530013C23Rik	2	167516677	167554672	+
Gm14321	2	167602967	167608069	+
9230111E07Rik	2	167607553	167608986	+
1200007C13Rik	2	167653193	167659146	-
Gm14319	2	167684085	167688042	+
Ptpn1	2	167757557	167804885	+
Fam65c	2	167805664	167836118	-
Gm14236	2	167836029	167837006	+
Pard6b	2	167906504	167926703	+
Gm14235	2	167973517	167979033	-
E130018N17Rik	2	167978103	167980013	-
Adnp	2	168006486	168032612	-
Dpm1	2	168006486	168056091	-
Mocs3	2	168056122	168058094	+
Kcng1	2	168085617	168107236	-
Gm14262	2	168114519	168120621	-
Nfatc2	2	168301910	168427157	-
Atp9a	2	168459938	168567909	-
Sall4	2	168573832	168593443	-
Gm14261	2	168591643	168593608	+
Zfp64	2	168718831	168781087	-
1700017J07Rik	2	168803768	168804406	+
Gm14260	2	168812066	168812873	-
Gm9873	2	168845770	168846866	+
Gm14258	2	168931953	168935915	+
9430093N23Rik	2	169060491	169063270	+
Gm14250	2	169214581	169221024	+
4930529I22Rik	2	169224645	169230950	-
Gm14249	2	169306117	169330343	+
1700101G07Rik	2	169407581	169408733	+
Gm11011	2	169408912	169413245	-
Tshz2	2	169458671	169897316	+
Gm16898	2	169459146	169714003	-
AY702102	2	169787628	169788487	-
A630075F10Rik	2	169886740	169896171	-
Zfp217	2	169934143	169973603	-
Gm17619	2	170017949	170019553	-
Bcas1	2	170172491	170253345	-
1700040N02Rik	2	170181861	170205935	+
Gm14259	2	170230681	170232675	+
Cyp24a1	2	170308208	170322645	-
Pfdn4	2	170321928	170344623	+
Gm16796	2	170324857	170337427	-
Gm14637	2	170401554	170403924	+
4930470P17Rik	2	170404918	170427517	-
Gm14264	2	170477934	170487965	-
Dok5	2	170557307	170705269	+
Gm14266	2	171018769	171096850	+
Gm14640	2	171040999	171043447	+
1700007M16Rik	2	171059509	171064491	+
1700028P15Rik	2	171782379	171788324	-
Gm14272	2	171813695	171814695	-
Gm14641	2	171821441	171829495	-
Cbln4	2	171861733	171868966	-
Gm14271	2	171872026	171875634	+
Mc3r	2	172073992	172076614	+
Gm14275	2	172113633	172116020	+
Gm14273	2	172149834	172164163	+
2010011I20Rik	2	172171065	172181249	+
Aurka	2	172181690	172196035	-
Cstf1	2	172196181	172207948	+
Cass4	2	172219294	172259257	+
Gm14455	2	172251304	172266060	-
2410001C21Rik	2	172266056	172295408	+
Gcnt7	2	172275813	172284096	-
1700029J11Rik	2	172298020	172299831	+
Tcfap2c	2	172375093	172384122	+
Bmp7	2	172693513	172765822	-
Spo11	2	172803201	172819077	+
Rae1	2	172825618	172841240	+
Rbm38	2	172845999	172860235	+
RP23-368M21.6	2	172848004	172848457	-
Gm14453	2	172851186	172860081	-
Ctcfl	2	172919110	172945026	-
1300015D01Rik	2	172936319	172958705	+
Pck1	2	172978549	172984774	+
Zbp1	2	173032113	173044424	-
Pmepa1	2	173049959	173102034	-
Gm14454	2	173102199	173103929	+
Gm14642	2	173220067	173221221	+
1700021F07Rik	2	173348087	173354002	+
Ankrd60	2	173394166	173403866	-
Ppp4r1l-ps	2	173404821	173485141	-
Rab22a	2	173485261	173532844	+
1700010B08Rik	2	173544916	173547590	+
Vapb	2	173563012	173609837	+
Stx16	2	173901809	173925272	+
Npepl1	2	173935850	173948571	+
Gm10714	2	173950539	174009419	-
Nespas	2	174106738	174120937	-
Gnas	2	174109821	174172245	+
AF085738	2	174155820	174172213	-
Th1l	2	174241305	174253003	+
Ctsz	2	174252994	174264540	-
Tubb1	2	174276196	174283383	+
Atp5e	2	174286573	174289606	-
Slmo2	2	174290568	174298582	-
Zfp831	2	174469035	174536333	+
Edn3	2	174586120	174609543	+
Gm14617	2	174661465	174666675	-
Gm14618	2	174667806	174678858	-
Gm14616	2	174681790	174692032	+
Gm14444	2	174835742	174844749	+
Gm14393	2	174887050	174893282	-
Gm14399	2	174954994	174967513	-
Gm14443	2	174991756	175001372	-
Gm14391	2	175016566	175032418	-
Gm14440	2	175100626	175112306	+
Gm4631	2	175147456	175163698	-
Gm4723	2	175197937	175209702	+
Gm4724	2	175247801	175261308	-
Gm8923	2	175295564	175307672	+
Gm11009	2	175375245	175377101	+
2210418O10Rik	2	175454411	175468170	-
Gm2004	2	175544914	175553148	+
Gm11008	2	175594033	175605283	-
Gm11007	2	175643110	175652992	+
Gm4245	2	175691355	175702778	-
Gm2007	2	175740669	175750551	+
Gm14288	2	175788489	175800225	-
Gm6710	2	175868351	175880380	+
Gm8898	2	175918013	175930232	-
Gm2026	2	175964463	175979435	+
Gm14432	2	176083705	176093584	-
Gm14436	2	176131382	176141650	+
Gm14430	2	176181277	176191160	-
Gm14431	2	176221039	176232462	-
Gm14434	2	176266735	176280240	+
Gm14435	2	176317757	176329924	-
Gm14308	2	176398073	176421053	-
Gm14306	2	176455231	176503794	+
Gm14305	2	176493037	176506522	+
Gm14295	2	176583317	176595928	+
Gm14408	2	176615845	176621435	+
Gm14296	2	176677214	176712514	-
Gm14419	2	176785661	176797492	+
Gm14401	2	176859025	176872052	+
Gm14410	2	176968158	176991126	-
Gm14409	2	177049359	177051741	-
Gm14412	2	177099225	177109012	-
Gm14418	2	177171829	177183025	-
Gm14420	2	177249438	177262834	+
Gm14403	2	177282920	177297014	+
Gm14406	2	177353909	177362915	-
Gm14322	2	177493993	177505177	+
Gm14325	2	177566496	177575041	-
Gm14327	2	177631801	177640489	+
C330013J21Rik	2	177638045	177660318	-
Gm14326	2	177670698	177692002	-
Etohi1	2	177757989	177768727	+
Gm17513	2	177758513	177763441	-
Zfp931	2	177802400	177813181	-
Phactr3	2	177853680	178073197	+
Sycp2	2	178079998	178142390	-
Ppp1r3d	2	178145911	178149177	-
9030418K01Rik	2	178149229	178159133	+
Cdh26	2	178165236	178222071	+
4930591A17Rik	2	179149641	179151587	+
Cdh4	2	179177136	179634078	+
Gm10711	2	179628614	179629398	+
Taf4a	2	179646851	179711351	-
4921531C22Rik	2	179710698	179713718	+
Lsm14b	2	179759692	179770170	+
Psma7	2	179771078	179777138	-
Ss18l1	2	179777214	179804906	+
Gtpbp5	2	179805293	179820607	+
Hrh3	2	179834170	179839193	-
Gm17180	2	179834618	179836207	+
Osbpl2	2	179854011	179897385	+
Adrm1	2	179906190	179910991	+
Lama5	2	179911078	179960564	-
Rps21	2	179992082	179993150	+
Cables2	2	179993245	180008201	-
BC066135	2	180012351	180024584	-
Gata5	2	180059838	180069404	-
Gm14318	2	180067562	180075437	+
B230312C02Rik	2	180105196	180120590	-
Slco4a1	2	180190950	180209572	+
Ntsr1	2	180234681	180279685	+
1600027N09Rik	2	180316009	180321009	+
Ogfr	2	180323950	180330541	+
Col9a3	2	180332495	180356894	+
Tcfl5	2	180356661	180377413	-
Dido1	2	180392669	180444704	-
2310003C23Rik	2	180444822	180453438	+
Slc17a9	2	180459968	180476985	+
Gm14343	2	180500919	180510108	-
Bhlhe23	2	180509086	180511605	-
Gm14340	2	180553048	180559335	-
Gm14342	2	180564195	180624365	-
Gm14344	2	180571186	180583619	+
Gm14339	2	180582357	180583751	+
Ythdf1	2	180639082	180655654	-
Birc7	2	180663728	180668715	+
Nkain4	2	180669477	180689404	-
Gm14341	2	180689169	180701517	+
Arfgap1	2	180701930	180717231	+
9230112E08Rik	2	180718937	180720296	+
Col20a1	2	180721240	180752245	+
Chrna4	2	180753085	180778251	-
Kcnq2	2	180810284	180869996	-
Eef1a2	2	180882358	180891719	-
Ppdpf	2	180921952	180923476	+
Ptk6	2	180928426	180937494	-
Srms	2	180940267	180947890	-
BC051628	2	180954718	180957559	+
BC006779	2	180962320	180976732	-
Gmeb2	2	180986154	181022740	-
Stmn3	2	181041164	181049205	-
Rtel1	2	181054444	181091321	+
Arfrp1	2	181092395	181100109	-
Zgpat	2	181099633	181118333	+
Lime1	2	181114783	181118333	+
Slc2a4rg-ps	2	181118955	181122291	+
Zbtb46	2	181122467	181194131	-
Abhd16b	2	181227911	181229685	+
Tpd52l2	2	181231847	181252671	+
Dnajc5	2	181255190	181289838	+
Uckl1	2	181303854	181319597	-
Gm16119	2	181313185	181319875	+
Znf512b	2	181316808	181327508	-
Prpf6	2	181326573	181390365	+
Samd10	2	181329923	181333917	-
Sox18	2	181404541	181406345	-
Tcea2	2	181415015	181422776	+
Rgs19	2	181423124	181428682	-
4930526D03Rik	2	181431498	181433147	-
Oprl1	2	181449721	181455690	+
Myt1	2	181498037	181562502	+
Pcmtd2	2	181572559	181592166	+
Polr3k	2	181599042	181605535	+
Gm14496	2	181725841	181731135	+
Hnf4g	3	3508030	3659775	+
Gm17308	3	5090276	5094776	+
2700069I18Rik	3	5177822	5220823	-
Gm10748	3	5212838	5215209	+
Zfhx4	3	5218554	5415855	+
Pxmp3	3	5560188	5576239	-
1700008P02Rik	3	6615413	6620443	-
Pkia	3	7366604	7445366	+
Fam164a	3	7503426	7553848	+
Il7	3	7572036	7613722	-
Gm16685	3	7612705	7690001	+
Stmn2	3	8509527	8561604	+
Hey1	3	8663362	8667039	-
Mrps28	3	8802146	8923918	-
Tpd52	3	8928626	9004723	-
Zbtb10	3	9250602	9285333	+
C030034L19Rik	3	9403064	9437233	+
Zfp704	3	9427011	9610085	-
Pag1	3	9687479	9833679	-
Gm16337	3	9757607	9786142	+
Fabp5	3	10012548	10016607	+
Gm9833	3	10088173	10092564	+
Pmp2	3	10179851	10183885	-
Fabp9	3	10193626	10197222	-
Fabp4	3	10204347	10208576	-
Fabp12	3	10244209	10301183	-
