Gene	Expression
Tmem79	-0.9063018
Smg5	6.1696024
Paqr6	-4.2955494
Bglap-rs1	-1.7092614
Bglap2	-3.0809891
Gm6821	-3.3409574
Bglap	-3.4728687
Pmf1	6.0032196
Slc25a44	2.7969115
Sema4a	-4.4497485
Lmna	2.547723
Mex3a	2.3988693
Rab25	0.5999276
Lamtor2	4.057851
Ubqln4	3.7645383
Ssr2	8.175107
Arhgef2	0.76936215
Rxfp4	-4.483336
2810403A07Rik	4.380837
Rit1	2.2537274
Gm17146	-1.003599
Gm10253	-4.077923
Syt11	3.2555175
Gon4l	3.6488137
Msto1	4.2552743
Dap3	4.464631
Ash1l	4.3717675
Rusc1	-0.9118992
Fdps	3.8969593
Pklr	-5.861402
Hcn3	-0.61025655
Clk2	4.323086
Scamp3	4.6969385
Gm16069	4.3362184
Fam189b	1.6486933
Gba	5.171086
Mtx1	3.724443
Thbs3	3.3129349
Muc1	-0.6604275
Trim46	-3.3531835
Krtcap2	3.593904
Dpm3	2.1727653
Slc50a1	-0.04351013
Efna1	2.2319105
Efna3	-1.2110534
Gm15998	-1.8980259
Efna4	-1.8850021
4731419I09Rik	0.012679774
Adam15	0.647519
Dcst1	-4.07869
Zbtb7b	0.33459654
Gm15417	-1.1692085
Lenep	2.0389056
Flad1	3.756287
Cks1b	2.802291
Shc1	1.4739032
Pygo2	4.4951334
Pbxip1	1.3451178
Pmvk	2.1143682
Kcnn3	-4.6381173
Adar	3.5632143
Chrnb2	-1.7434256
4632404H12Rik	0.8963483
Ube2q1	6.239082
She	-3.2125492
Il6ra	-3.1713676
Atp8b2	3.140881
Hax1	2.7065358
Ubap2l	6.362386
4933434E20Rik	3.528813
Gm16540	-2.7841122
1700094D03Rik	1.3873646
Tpm3	0.7194058
Nup210l	3.5189576
Rps27	8.568632
Rab13	0.47092617
Jtb	4.3618603
Creb3l4	0.09519176
Slc39a1	2.7988653
Crtc2	3.856689
Gm10973	-0.4868082
Dennd4b	0.38110036
Gatad2b	4.6836214
Slc27a3	4.6964087
Ints3	5.1857104
Npr1	1.1863288
Gm16048	1.7871855
Ilf2	5.626474
Snapin	5.142612
2500003M10Rik	3.3192806
S100a1	-0.31826958
S100a13	-3.531202
S100a14	-4.2862144
S100a16	-1.7085068
S100a3	-3.6771393
S100a4	-3.3986228
S100a5	-2.9562933
S100a6	-1.9542882
S100a7a	-3.7347357
S100a8	-2.8161156
S100a9	-3.229312
Pglyrp4	-5.410859
9130204L05Rik	-3.1409853
Pglyrp3	-4.313845
Lor	-4.9950094
Prr9	-4.40964
Lelp1	-3.9662774
Sprr2a1	-5.9913473
Sprr2a2	-6.008761
Sprr2a3	-3.697261
Sprr2b	-3.6505547
Sprr2d	-3.612917
Sprr2e	-3.539028
Sprr2f	-3.4517043
Sprr2g	-3.5457017
Sprr2h	-3.7559948
Sprr2i	-3.4705324
Sprr2j-ps	-3.5958686
Gm9774	4.8694987
Sprr2k	-3.5165553
Sprr1b	-3.8808858
Sprr3	-3.9207947
Sprr1a	-3.848864
Sprr4	-2.053155
Ivl	-5.0871024
Smcp	-3.8685176
Lce6a	-3.8398418
Lce1a1	-3.6690116
Lce1b	-3.539028
Lce1a2	-3.6832051
Lce1c	-3.7012517
Lce1d	-3.6065474
Lce1e	-3.6751118
Lce1f	-3.7092004
Lce1g	-4.0547156
Lce1h	-3.6649299
Lce1i	-3.7151334
Lce1j	-2.9156516
Kprp	-5.6139755
Lce1l	-3.5894232
2310050C09Rik	-4.2607503
Lce3a	-3.2915184
Lce3b	-3.3383973
Lce3c	-3.3409574
Gm9782	-2.7483006
2310001H18Rik	-2.44458
Lce3f	-3.4540713
Crct1	-3.8307626
Lce1m	-3.8258355
Gm4858	-4.922505
Crnn	-3.133325
Flg2	-6.9768105
Flg	-4.6769366
Flg	-4.0717707
Flg	-4.0717707
Flg	-4.0717707
Flg	-4.740565
Hrnr	-7.6517153
Gm17426	0.62866914
Rptn	-6.2189097
Tchh	-2.2350216
Tchhl1	-5.2140303
S100a11	1.0408808
S100a10	1.1992763
Tdpoz1	-4.471701
Gm9107	-4.199996
Gm5852	-4.270184
Gm5773	-4.3650556
Tdpoz4	-4.321644
Tdpoz3	-4.302068
Gm9116	-4.270184
Gm9117	-4.476366
Tdpoz5	-4.199996
Gm9125	-4.476366
Gm10697	-4.199996
Gm10696	-5.385661
Gm5286	-4.8389363
Gm4778	-4.4786935
Them4	1.6900697
Them5	-4.7901206
C2cd4d	-0.24142146
Rorc	4.571519
Gm17179	3.6323261
Lingo4	-1.6331782
1700040D17Rik	-2.9592957
Tdrkh	5.326833
Oaz3	3.4206488
Mrpl9	4.511701
Riiad1	-0.44699502
Celf3	-3.1495392
Snx27	4.950825
Tuft1	2.3890488
Gm10972	-0.54125583
Gm15234	-4.24853
Cgn	-0.38330346
BC021767	-2.858367
Selenbp2	-4.1991496
Pogz	4.908998
Psmb4	6.6375027
Selenbp1	-5.3517876
Rfx5	3.5719283
B230398E01Rik	3.319213
Pi4kb	5.3758235
A730011C13Rik	3.7078269
Gm15265	5.0029593
Zfp687	5.829291
4930481B07Rik	0.83576536
Psmd4	5.483955
Pip5k1a	3.306165
Vps72	3.6623673
Tmod4	-1.6251521
Lysmd1	-5.27461
Tnfaip8l2	-4.333263
Sema6c	0.044921517
Gabpb2	3.4622333
Gm16740	1.1790134
Mllt11	-1.1511909
Cdc42se1	-0.2597419
Gm128	-1.0784138
Bnipl	-4.8980255
Prune	3.4827673
Fam63a	1.7115779
Anxa9	-0.25955218
Gm10691	0.03632707
Lass2	4.651128
Setdb1	5.388919
Gm4349	-3.785805
Arnt	2.578957
Ctsk	-2.2608042
Ctss	-2.1347425
Hormad1	3.4616616
Golph3l	2.4131062
Ensa	4.7531185
Mcl1	5.308422
Adamtsl4	-2.2775342
Ecm1	-0.49120203
Tars2	4.827133
Rprd2	3.3225527
Prpf3	2.9079225
Gm16884	-1.1447997
Mrps21	2.4077766
C920021L13Rik	-1.3673806
Gm129	0.05577956
BC028528	-3.5026734
Aph1a	-0.6747337
Car14	-1.776756
Anp32e	1.6262395
Plekho1	2.0556133
Vps45	3.509663
Otud7b	3.6468906
Mtmr11	0.80789375
Gm17690	1.448513
Sf3b4	1.380241
Sv2a	-2.1406047
Bola1	3.760229
Gm15444	-3.093797
Hist2h2ab	-2.8197913
Hist2h2ac	-3.2237735
Hist2h2be	-0.19419877
Hist2h2aa2	-3.3763313
Hist2h2aa1	-3.3763313
Hist2h3c1	-2.9933825
Hist2h4	-2.3785264
Hist2h3b	-1.3951776
Hist2h2bb	-3.0257282
Fcgr1	-1.7015584
Gm17667	-5.029542
Gm17580	-4.6892457
Gm17575	-5.1978793
Gm17587	-5.029542
4930477E14Rik	-3.4798553
BC107364	-0.3008851
Hfe2	-5.0302563
Gm15441	4.6889396
Txnip	5.9458294
Gm16253	1.3708714
Polr3gl	2.981874
Ankrd34a	-1.7992722
Lix1l	2.5342174
6330549D23Rik	0.93802863
Rbm8a	4.190923
Pex11b	3.400914
Itga10	-1.8048466
Rpl21-ps11	-3.0717707
Ankrd35	-6.0500293
Pias3	2.8140354
Nudt17	0.23952597
Polr3c	5.383841
Rnf115	4.580089
Cd160	0.6055503
Pdzk1	4.395349
4930442L01Rik	-3.19151
Gpr89	4.2185535
Gja5	-0.7828575
Gja8	-1.4095914
Acp6	3.3005078
Bcl9	5.1023564
Gm17608	-4.7863684
Olfr1402	-4.1127977
Chd1l	5.3596272
Fmo5	-3.3498826
Prkab2	4.3869915
Gm17651	1.7806722
Pde4dip	1.2130531
Gm15999	-4.762694
Sec22b	3.5095243
Gm5544	-4.0006876
Notch2	2.775307
Adam30	-5.2551956
Reg4	-4.197173
Hmgcs2	1.0081923
Phgdh	1.4258742
Zfp697	-1.3833966
Gm4450	-4.922505
Hsd3b4	-4.8188734
Gm10681	-4.900978
Hsd3b5	-4.848864
Hsd3b2	-6.0790734
Hsd3b3	2.873386
Hsd3b6	-0.006805126
Hsd3b1	-0.6586788
Hao2	0.690311
5730437C11Rik	-3.0215847
Gm12440	-3.111449
Wars2	1.9087486
Tbx15	-1.4614913
Spag17	-1.193891
B930086A06Rik	-6.308623
Wdr3	4.296544
Gdap2	3.5010052
4930406D18Rik	-1.1421599
Fam46c	4.1800375
Gm12474	-1.0514505
Man1a2	2.711895
Vtcn1	-4.6308126
Trim45	1.5785577
Ttf2	3.3709002
Cd101	-4.7502756
Ptgfrn	4.9398017
Cd2	-4.9671063
Gm10355	-3.2209966
Igsf3	3.1838024
Atp1a1	7.3432927
Mab21l3	-5.867186
Slc22a15	-1.4071692
Nhlh2	-5.9126425
Casq2	-1.4672554
Vangl1	1.284055
Gm16160	-1.6585814
Ngf	-4.4145103
2410057H14Rik	-3.405977
Tspan2	-5.2121086
Tshb	-1.7975955
Sycp1	4.513053
Nr1h5	-5.670539
Sike1	2.2864888
Csde1	6.321082
Nras	3.8417609
Ampd1	-5.5616493
Dennd2c	0.95521784
Bcas2	4.392657
Trim33	2.9960754
Syt6	-2.842068
Gm16520	-2.9166815
BC027582	-3.820892
Olfml3	-1.0202276
Gm10964	-1.1082964
Hipk1	2.8649805
Gm15886	2.306741
Dclre1b	1.6650178
Gm15471	1.4070547
Ap4b1	4.2985916
Bcl2l15	-1.2379092
Ptpn22	-1.9301637
Gm15472	-3.7756207
Rsbn1	1.5101749
A130049A11Rik	1.6894158
Phtf1	4.1672707
Magi3	3.2306426
Gm5546	-5.640717
Lrig2	2.571341
Slc16a1	3.2138488
Fam19a3	-6.331977
Ppm1j	-1.3390024
Rhoc	1.2876322
Mov10	3.9793472
Capza1	1.5306499
St7l	1.5049877
Wnt2b	0.23513995
Cttnbp2nl	2.9366806
4930564D02Rik	-3.7269266
1700095B22Rik	-4.603352
Kcnd3	1.2744803
Ddx20	5.0622206
6530418L21Rik	-5.2724996
Rap1a	0.94999623
Adora3	-3.4240077
I830077J02Rik	-4.576445
Atp5f1	4.6539264
Wdr77	3.8235655
Ovgp1	3.421657
1700027A23Rik	-1.1342111
Chi3l7	-4.836217
Gm4540	2.608906
Chia	-5.0954657
Chi3l3	-4.932725
Chi3l4	-4.8738313
BC051070	-4.901846
2010016I18Rik	-4.526149
Dennd2d	-4.170936
Cept1	2.7755702
Dram2	2.6090825
4933421E11Rik	1.4047841
Cd53	-5.6536474
Olfr266	-4.205626
Kcna3	-4.991917
AI504432	-5.4145103
A930002I21Rik	-4.683205
Kcna2	-5.9562936
Kcna10	-5.283555
Cym	-4.472869
Prok1	-2.9761927
Hbxip	4.4622197
Slc16a4	-0.84158874
Rbm15	2.7692945
Kcnc4	-1.9059478
Slc6a17	-1.0554483
Ubl4b	-4.627671
Alx3	-5.1468496
Fam40a	5.00402
Gm10961	-1.3713309
Ahcyl1	5.0914297
Csf1	-4.0888705
Eps8l3	-2.3898888
4933431E20Rik	-0.78517026
Gstm5	3.6421523
Gstm7	0.3058398
Gstm6	0.87541276
Gstm3	-4.6453857
Gstm2	1.7129443
Gstm1	1.0291443
Gm12498	-2.7277093
Gstm4	1.7369118
Ampd2	1.4310145
Gm12500	-3.454544
Gnat2	-4.01278
Gnai3	4.6519213
Gpr61	-3.3122807
Gm12524	-4.829851
Amigo1	3.26312
Cyb561d1	-0.33935064
Atxn7l2	1.3512794
Sypl2	-4.5601673
1700010K24Rik	-1.8695816
Psma5	3.7329295
Gm12523	2.4521055
Sort1	4.748104
Gm12525	-1.5781825
Mybphl	-4.5176873
Gm12522	-5.4534802
Psrc1	-2.4359837
Celsr2	2.2734022
Sars	5.1484656
5330417C22Rik	-4.084202
1700013F07Rik	-2.5532284
Tmem167b	4.7682624
Taf13	-0.1492651
Wdr47	3.8165045
Clcc1	3.318603
Gpsm2	4.084738
Aknad1	-7.066172
Stxbp3a	1.1673459
Fndc7	-2.8899183
Prpf38b	4.1993876
Gm12521	-3.6401978
Gm9857	4.0187125
4921515J06Rik	3.965238
Fam102b	0.64326984
4930443G12Rik	-4.9990673
Slc25a24	-1.4718881
Vav3	-2.358939
Ntng1	-3.3413956
Ntng1	-2.5545528
Prmt6	2.1151268
Amy2a5	-5.149043
Amy2a4	-4.94708
Amy2a3	-5.0947075
Amy2a2	-5.471117
Amy2a1	-3.999067
Amy1	1.5835944
Rnpc3	2.1329741
Col11a1	-4.7017994
Olfm3	-6.471117
S1pr1	-0.52656573
A930005H10Rik	1.766597
Dph5	2.1806877
Slc30a7	2.254629
Extl2	1.4760146
Vcam1	-6.312965
Gm17730	-5.6334257
Gpr88	-3.4798553
Cdc14a	-2.8740435
Rtcd1	5.6496196
Gm17632	3.23507
Dbt	0.43402177
Lrrc39	-0.080069944
Ccdc76	1.5776336
Sass6	2.0450666
Hiat1	4.914497
Slc35a3	0.9824356
Agl	3.8513675
Frrs1	-1.1058898
Palmd	-5.9457355
4930455H04Rik	-4.438496
1700061I17Rik	-5.139515
D3Bwg0562e	-5.8507066
4833424O15Rik	-6.2695127
Snx7	-0.004263725
Dpyd	-3.8546093
Ptbp2	6.546951
Rwdd3	-1.1852546
Tmem56	2.3712814
Alg14	0.6444364
Cnn3	2.458384
Slc44a3	0.021550193
A530020G20Rik	-2.4440603
A730020M07Rik	-4.1247334
4930432M17Rik	-3.2375796
F3	-4.922847
Abcd3	4.4539065
Gm17676	4.1246266
Arhgap29	2.4209833
Abca4	-2.4095182
Gm16078	-2.8844004
Gm4609	-4.1700726
Gclm	5.4834213
Gm17494	-2.0574312
Dnttip2	6.3252673
Bcar3	3.7630675
Fnbp1l	4.587157
Pde5a	-1.7028993
4933405D12Rik	-2.16106
Fabp2	-2.3788254
Gm10959	-0.3713309
1810037I17Rik	0.1403828
Usp53	2.1464741
Myoz2	-5.9323006
Synpo2	-1.6335982
Sec24d	1.3231102
Mettl14	2.7111
Prss12	-5.3975773
Ndst3	-6.7945633
Gm9372	-2.853534
Tram1l1	-0.12394964
1700006A11Rik	-5.2775536
1700003H04Rik	-4.2237735
Ndst4	-7.1286287
Ugt8a	2.509967
Arsj	-6.060552
Gm17225	-3.1585078
Camk2d	-1.8716482
Gm15551	-2.08007
Ank2	-1.2525103
Gm16958	-4.8901806
Gm4392	-2.6065474
Larp7	4.9628234
4930422G04Rik	2.621279
Neurog2	-2.3622859
Alpk1	-4.761285
Tifa	-2.5452578
Ap1ar	5.0309796
5730508B09Rik	2.1113935
Gm10650	-5.1439204
Pitx2	-6.256688
Enpep	-1.857371
Elovl6	-1.6814287
Egf	0.04822227
Rrh	-3.5231087
Gar1	4.059195
Cfi	-2.7463703
Pla2g12a	3.7527595
Casp6	2.674419
Ccdc109b	-2.4135375
Sec24b	4.7448835
Gm9396	-3.3486106
Col25a1	-1.1638443
Agxt2l1	-6.0648174
Ostc	6.041745
Rpl34	5.5594263
Lef1	-0.41430858
Hadh	1.2988932
Cyp2u1	-1.1486733
4930534D22Rik	-5.6081424
Sgms2	1.82732
Papss1	3.1537507
Dkk2	-3.9003708
Gm5549	-3.5545526
Aimp1	5.001135
Tbck	3.7277367
Npnt	1.9268652
Gstcd	1.6253109
Ints12	2.4177613
D630013G24Rik	-7.204572
Ppa2	1.7721101
Tet2	1.8701715
Gm2078	-3.623222
Cxxc4	-0.41974407
Gm16742	-5.235517
Tacr3	-4.342491
Cenpe	3.2868931
Bdh2	-4.432627
Nhedc2	-5.5397525
Nhedc1	3.1156037
Cisd2	1.6086775
4930539J05Rik	0.40010694
Ube2d3	4.698416
Manba	-2.2929907
Nfkb1	2.7597566
Gm9799	-4.6536474
Slc39a8	-5.3683224
Bank1	-0.36604294
Ppp3ca	1.4231039
Gm10955	-1.8738312
Emcn	-5.4505486
Gm4861	-4.103781
Ddit4l	-3.5591779
H2afz	3.394586
Dnajb14	-0.22220382
Lamtor3	2.2117739
Dapp1	-1.408713
Gm5105	-4.9027123
1110002E22Rik	-7.4372706
Mttp	0.84403443
Rg9mtd2	2.5797346
4930579F01Rik	-4.945399
Adh7	-5.919511
Adh1	-1.3668154
Gm16559	-2.6604276
Adh6a	-5.513154
Adh6b	-4.8901806
Adh6-ps1	-5.6469383
Adh4	-0.22931182
Adh5	5.05154
Metap1	5.057997
Eif4e	3.3188293
Tspan5	2.323403
Rap1gds1	5.255808
Gm4862	-2.9761927
B930007M17Rik	0.39169827
Pdha2	2.2185307
Gm15688	-5.2890015
Unc5c	-1.4505192
Gm15689	-4.3800707
Bmpr1b	-1.1647185
Pdlim5	2.254184
Gbp5	-6.1772537
Gbp7	-4.903232
Gbp3	-5.7107353
Gbp1	-5.664419
Gbp2	-3.7613566
Ccbl2	3.0956426
Gm15540	1.80192
Gtf2b	4.7395115
Pkn2	2.9203641
9530052C20Rik	-0.2875745
Gm2574	-4.4681926
Lmo4	-0.27603382
Hs2st1	2.187174
Sep-15	5.0473876
Sh3glb1	4.3932204
Clca1	-2.5188594
Clca2	-5.966775
Clca4	0.53970325
Gm6289	-3.6771393
AI747448	-5.750709
Gm16233	-4.8658533
Clca6	-5.7540746
Clca3	-3.983585
Clca5	-6.161408
Odf2l	2.7939813
Col24a1	0.57839465
Znhit6	4.2854934
Cyr61	-0.51168287
Gm17501	-4.415725
Ddah1	5.129869
Bcl10	0.5452532
2410004B18Rik	2.5387836
Syde2	3.0708702
Wdr63	-3.4205258
Mcoln3	-5.957128
Mcoln2	-5.8844004
Lpar3	-5.4856515
Ssx2ip	3.8703384
Dnase2b	-5.3825583
Ctbs	1.0966016
Spata1	2.0103605
Gng5	2.0708494
Rpf1	4.022998
Uox	-5.786368
Gm16325	-5.8587246
4930503B20Rik	-1.2806239
Samd13	-0.48180547
Prkacb	5.092633
Gm10288	-3.270184
Ttll7	-2.3468482
Lphn2	2.3544664
Gm9912	-2.6318583
Gm10287	-6.18618
Rpsa-ps10	-1.2518765
Eltd1	-1.8119509
Ifi44	-6.627775
H28	-3.1262183
Ptgfr	-5.140177
Gipc2	-6.008761
Dnajb4	0.7813404
Fubp1	4.896469
Nexn	3.2893205
Fam73a	2.38091
Usp33	3.7201133
Zzz3	2.5973012
Ak5	-2.3269224
AI115009	-5.057053
Pigk	3.5443125
St6galnac5	-2.7932756
Gm16213	-3.5210779
Gm16231	-2.5188186
St6galnac3	0.5676785
5730460C07Rik	-5.042184
Asb17	0.09205108
2510003D18Rik	0.90329146
Msh4	3.6682737
Rabggtb	3.172353
Acadm	1.3032926
Slc44a5	-6.8517175
Lhx8	6.6719
Tyw3	2.2190738
Cryz	2.260812
4922501L14Rik	-3.2243283
Gm20389	-4.175821
BC007180	-6.660581
Tnni3k	-5.8813257
Fpgt	3.12703
Lrriq3	1.3983169
4930570G19Rik	-5.0773087
Negr1	-5.7647214
Gm15577	-5.3644266
4930566N20Rik	-4.429022
Zranb2	4.1930237
Ptger3	-3.3962333
Cth	-2.3860688
1810013D15Rik	-3.3838003
Ankrd13c	2.62454
Srsf11	4.2017884
Lrrc40	4.1027894
Lrrc7	-3.9147496
Depdc1a	-5.8996763
Rpe65	-4.847064
Wls	0.041959044
Vmn1r2	-4.1829734
Vmn1r3	-4.1829734
AI838599	-5.1002717
Tmem68	0.49698794
Tgs1	0.23322615
2210414B05Rik	-3.96959
Lyn	-1.3974227
Gm17726	-5.9100585
Rps20	5.054276
Mos	0.40395156
Plag1	1.3089492
Chchd7	2.9348767
Gm11808	-0.026682666
Sdr16c5	-4.816116
Sdr16c6	-5.1232467
Penk	-0.55367
A830012C17Rik	-4.9027123
Impad1	1.5786413
Gm11782	-5.6546764
4930423M02Rik	-3.2842202
Fam110b	-0.3165426
Ubxn2b	2.6583366
Cyp7a1	-6.2286205
4930430E12Rik	-4.3498826
Sdcbp	2.3762946
Nsmaf	2.591666
Tox	-0.98869765
Gm11802	-0.81537944
8430436N08Rik	-1.3148504
Gm11795	-2.8307626
Car8	-0.37433332
Rab2a	5.17154
Chd7	3.4422596
Gm17240	-5.187959
Clvs1	-3.475286
Gm11816	-3.9919171
Gm11817	-3.621366
Asph	0.6750994
4930412C18Rik	-2.2429867
Gdf6	-5.9876757
Gm17492	-6.941819
1700123O12Rik	-4.7844887
Gm11815	-0.057576686
2610301B20Rik	2.406679
Plekhf2	2.7735338
2310030N02Rik	1.8502269
Gm11827	-4.6192584
Trp53inp1	2.6297827
Ccne2	2.5502079
Ints8	3.8281522
Dpy19l4	2.1590059
Gm16652	0.9551894
Esrp1	6.7510386
Gm17283	-0.3713309
1110037F02Rik	4.6476436
Gm11831	-3.4983222
Rad54b	2.9889095
Gm11832	2.5532618
Gem	-2.088322
Cdh17	1.0520664
Pdp1	3.5286076
1700123M08Rik	-4.3486104
Gm10604	-3.7858045
Gm17454	-3.4752014
Gm11840	-3.644349
Gm11842	-0.16834377
Tmem67	0.9204774
C430048L16Rik	-1.4169734
Rbm12b	-1.2653401
Fam92a	3.033025
Gm11846	-3.2098343
Gm11818	1.9369408
Gm11820	-3.5764453
Runx1t1	-0.20041925
Gm11823	-5.354958
1700120G11Rik	-3.1409853
Slc26a7	-0.3903157
Lrrc69	-2.9125564
Otud6b	0.032159932
Tmem55a	2.2101321
Gm11837	3.7423906
Necab1	-1.7034878
Gm11844	-3.0437562
Tmem64	4.6705337
Calb1	-2.9700534
Decr1	-0.016675474
Nbn	3.0190055
Osgin2	2.1933773
Ripk2	3.2952967
A530072M11Rik	-0.73434615
Gm11861	-2.6268318
Gm11851	-3.6360343
Mmp16	-5.545757
Gm11867	-5.100007
Cnbd1	-4.5797005
Cngb3	-6.4023046
Cpne3	3.8213646
Fam82b	1.7666403
Gm12353	1.0847826
Wwp1	2.7604094
Gm12354	-2.3067906
Slc7a13	-5.265475
Atp6v0d2	-3.8717082
4930480G23Rik	-4.1858244
Ttpa	-4.2326245
4930598A11Rik	-0.7590609
Ggh	-0.20494379
Nkain3	-4.225576
Gm11872	-5.3171
Prdm13	-2.9428728
Ccnc	1.4502578
2610029I01Rik	-3.6823978
Usp45	1.1080588
Sfrs18	3.7029777
Coq3	3.9365695
6230409E13Rik	0.08083623
Fbxl4	2.9663188
Pou3f2	-3.7722104
1700025O08Rik	-3.0342958
Gm11884	-3.5255866
Mms22l	3.4944398
Klhl32	-0.07712447
Gm11899	-0.00553693
Ndufaf4	2.026224
C230012O17Rik	-6.209274
Gpr63	-1.9275931
Gm11906	1.9335238
Fhl5	-4.3949313
1810074P20Rik	3.2845106
Fut9	-7.9562936
Manea	1.4432471
Bhmt-ps1	-5.0717707
4930548K13Rik	-3.333263
Epha7	-2.320282
Gm11915	-2.6852217
Gm11917	-2.7444377
Gm11916	-3.5457017
Gm11924	-4.974545
4930556G01Rik	-4.0006876
Map3k7	3.0910995
Bach2	1.4943445
D130062J21Rik	-5.622945
Gm11932	-1.9592956
BC024582	0.2160528
Gja10	-0.66411245
Casp8ap2	3.3597047
Mdn1	6.0527215
Lyrm2	1.6784222
Ankrd6	2.1752832
Rragd	0.24316831
4933421O10Rik	-0.63699275
Ube2j1	3.1819532
Gabrr2	-4.0890074
Gabrr1	-1.2080125
Pm20d2	0.15421349
Srsf12	1.9302902
Pnrc1	5.0198383
Gm11934	-4.7863684
Rngtt	1.67785
Cnr1	-0.72586346
Spaca1	2.895315
Gm12753	-3.552345
Akirin2	5.284115
Orc3	4.028101
Rars2	4.6603384
Slc35a1	0.8961012
1700003M02Rik	-4.3278522
Gm136	-4.5578575
1810030N24Rik	3.6986034
Zfp292	4.0158453
Cga	-4.0992513
2410114N07Rik	-5.415725
Mob3b	-3.0624926
Gm12364	-3.2968028
Ifnk	-3.854251
3110043O21Rik	3.666409
Gm12367	-3.3520417
Lingo2	-2.3856516
Gm12371	-4.292841
Gm12374	-5.8892193
Gm12381	-5.2954836
Gm17094	-0.5429878
1700009N14Rik	-4.498322
Aco1	4.019704
Ddx58	-0.58488274
Topors	4.3254204
2010003O02Rik	0.5527942
Ndufb6	5.4319525
4930509K18Rik	-5.02318
Tmem215	-6.4099445
4933428C19Rik	-3.877363
Aptx	3.2886124
Gm6297	2.4223216
Dnaja1	2.341186
Smu1	5.197039
B4galt1	-0.26431838
Spink4	-3.0992513
Bag1	6.1816025
Chmp5	5.264334
Nfx1	4.1014543
Aqp7	-5.6669726
Aqp3	-5.038245
Nol6	5.1777782
Ube2r2	5.3796864
Ubap2	6.739204
Dcaf12	4.250053
Ubap1	4.8613214
Kif24	3.624342
Nudt2	0.7513516
AI464131	-1.7245928
1110017D15Rik	-4.6740966
1700066J24Rik	2.5490808
2310028H24Rik	3.3215797
Gm12404	0.38204384
Dnaic1	2.1234004
Enho	2.474011
Gm12406	-3.646421
Gm12405	-3.567728
Cntfr	-0.36202654
Il11ra1	-3.36843
2810432D09Rik	4.8015876
Dctn3	5.8984375
Arid3c	-1.140126
Sigmar1	1.4856344
Galt	2.2266123
Ccl27a	-2.6793666
Gm10600	-3.5937233
Gm13307	-3.7498426
Ccl21b	-3.9662774
Gm13308	-4.802248
Gm13298	-6.213332
Gm10598	-4.941187
Gm10597	-2.9361157
Gm3892	-5.990532
Gm2442	-3.6669724
Gm10596	-4.0578313
Gm3893	-4.029542
Gm13304	-3.9104896
Gm13299	-2.932725
Gm13306	-4.2915187
Gm13305	-6.136571
1700045I11Rik	-3.1409853
Gm17167	-6.504616
Gm10595	-2.9361157
Gm10931	-5.4211793
Gm1987	-3.962957
Gm2023	-3.693259
Gm10930	-6.479855
Gm2500	-3.1409853
Gm2002	-5.132882
Gm2506	-4.0702286
Ccl21c	-3.962957
Gm7819	-4.029542
Gm7819	-5.9921618
Gm10929	-4.0578313
Gm10594	-2.9361157
4933409K07Rik	-4.941187
Gm2542	-6.140618
Gm10593	-5.990532
Gm10592	-4.0578313
Gm2163	-4.029542
Gm10591	-3.962957
Ccl27b	-4.0702286
Il11ra2	-5.589423
Gm9969	-3.1409853
Gm10590	-6.479855
4930578G10Rik	-4.194344
Gm12395	-3.267495
Ccl19	-3.961294
Ccl21a	-3.9662774
Gm12394	-5.91049
Gm12429	-6.2189097
BC049635	-3.9328098
N28178	-1.1462193
Dnajb5	-2.061116
1700022I11Rik	1.7042793
Vcp	2.5298982
Fancg	3.39163
Pigo	3.282796
Stoml2	2.4714584
Gm17599	0.58964396
B230312A22Rik	-0.016585441
Gm16972	-0.93692803
Unc13b	3.7044046
Atp8b5	1.1730216
Rusc2	2.5837288
Fam166b	1.8927726
Tesk1	5.701164
Cd72	5.2351127
Sit1	-4.502902
Ccdc107	3.372148
E130306D19Rik	0.44791725
Gm12454	-2.543925
Car9	-4.219328
Tpm2	1.2256495
Tln1	3.25984
Creb3	2.888456
Gba2	2.9630995
Rgp1	3.6724498
Msmp	3.8891125
Gm12472	-2.6192582
Gm12473	2.1307297
Npr2	2.5271893
Spag8	0.42181763
Hint2	1.6472849
4930412F15Rik	2.4091072
Tmem8b	4.6466136
Olfr70	-5.401078
Olfr71	-4.7492642
Hrct1	-4.6952615
5430416O09Rik	-6.045876
A630077J23Rik	-4.0593867
Olfr159	-4.1082964
Olfr156	-4.3033814
Olfr157	-4.987675
Olfr155	-4.5980105
Reck	1.5922904
Glipr2	-5.2293115
Ccin	-5.1886697
Clta	4.6584167
Gne	2.7446003
Gm12503	-5.8119693
Gm12504	-2.8509493
Rnf38	3.9098763
Melk	4.7160177
Gm19980	-5.1536736
Pax5	-5.942873
Gm12462	-3.0418692
Zcchc7	2.690082
Gm12678	-3.6360343
Gm12493	-2.9860406
Gm12679	-3.3622856
Grhpr	4.785838
Zbtb5	1.3495903
1700055D18Rik	-1.0809891
Polr1e	3.3488784
Fbxo10	4.227608
Tomm5	-2.2259915
Gm10982	-0.24579999
Frmpd1	1.3988509
2900093L17Rik	-2.8983734
Rg9mtd3	2.932457
Exosc3	2.3612695
Dcaf10	3.2413423
Mcart1	3.3266308
Shb	3.9133816
Gm12408	-4.161408
Gm829	-4.132143
Gm12410	-2.863184
Gm12409	-3.5367963
