gene	sample	expression
EPAS1	Normal_11	0.6443183
AGER	Normal_11	2.0172093
LOC346085	Normal_11	-2.1520033
SFN	Normal_11	-2.0528953
DSG3	Normal_11	-0.1965045
AQP4	Normal_11	3.6158463
KRT15	Normal_11	-0.6551723
MMP12	Normal_11	-0.0649173
CTHRC1	Normal_11	-1.5820803
ADH1B	Normal_11	3.8300523
PI3	Normal_11	-0.8916433
CDH5	Normal_11	0.8155753
SPRR1A	Normal_11	-0.2688173
AKR1B10	Normal_11	-2.2042333
PTPRZ1	Normal_11	-0.1713683
TENC1	Normal_11	1.5195423
MMP10	Normal_11	-0.7060413
ADH1C	Normal_11	2.9530793
COL3A1	Normal_11	-0.6803823
SCGB1A1	Normal_11	2.2705293
FHL1	Normal_11	2.7158933
SPP1	Normal_11	-3.3219283
LAD1	Normal_11	0.5119743
CLDN18	Normal_11	2.5518853
CDCA5	Normal_11	-2.5395203
KRT16	Normal_11	-0.3382503
KRT5	Normal_11	0.4812993
PERP	Normal_11	0.4157593
NTS	Normal_11	-1.8109663
HPGD	Normal_11	0.8351163
MFAP4	Normal_11	1.5434963
SLC2A1	Normal_12	-1.85977596666667
NBPF14	Normal_12	0.1583373
SPRR2C	Normal_12	-0.0439433
TSHZ2	Normal_12	0.1056783
ALDH3A1	Normal_12	-2.4659608
PEBP4	Normal_12	0.2289733
AKR1C3	Normal_12	-2.3147333
FMO2	Normal_12	2.9905923
PVRL4	Normal_12	1.3328513
FAM75A1	Normal_12	0.9568003
C1orf187	Normal_12	0.0271543
COL1A1	Normal_12	1.4541763
HBE1	Normal_12	-1.2722973
TP63	Normal_12	2.0186343
SFTPC	Normal_12	1.0731353
BBC3	Normal_12	0.2228053
ALDH3B2	Normal_12	2.0837243
SPRR3	Normal_12	-0.5084033
S1PR1	Normal_12	0.5711498
KRT17	Normal_12	-0.3695953
ADRB1	Normal_12	1.0036023
KRT14	Normal_12	-0.8236773
SPRR2G	Normal_12	-0.0862013
LYPD3	Normal_12	-0.7369663
AKR1C2	Normal_12	-1.9622993
IGSF10	Normal_12	3.1353713
PVRL1	Normal_12	-0.4961423
SPRR1B	Normal_12	-0.0673825
WDR72	Normal_12	-0.3327893
FABP4	Normal_12	0.7189643
LOC100132639	Normal_12	0.0524163
SERPINB3	Normal_12	-0.5756153
FGF11	Normal_12	-1.2549783
KRT13	Normal_12	-0.6853343
LOC729070	Normal_12	2.0064783
TTK	Normal_12	-2.5734673
GJB2	Normal_12	1.5018213
CLCA2	Normal_12	0.0468403
PI4KAP1	Normal_12	0.8836213
PFN2	Normal_12	-1.0862013
SFTPH	Normal_12	2.9296023
EPAS1	Normal_12	0.2630343
AGER	Normal_12	0.6210563
LOC346085	Normal_12	-2.1456053
SFN	Normal_12	-0.9213903
DSG3	Normal_12	-0.3171373
AQP4	Normal_12	3.5134748
KRT15	Normal_12	-0.1218633
MMP12	Normal_12	-0.0664273
CTHRC1	Normal_12	0.0028833
ADH1B	Normal_12	2.9111163
PI3	Normal_12	-0.6237103
CDH5	Normal_12	0.5340623
SPRR1A	Normal_12	-0.1313133
AKR1B10	Normal_12	-2.7759603
PTPRZ1	Normal_12	-0.2915923
TENC1	Normal_12	0.9411063
MMP10	Normal_12	-0.2209503
ADH1C	Normal_12	2.1476323
COL3A1	Normal_12	0.0690153
SCGB1A1	Normal_12	2.4369613
FHL1	Normal_12	1.6866133
SPP1	Normal_12	-2.5395203
LAD1	Normal_12	0.3595213
CLDN18	Normal_12	2.0317483
CDCA5	Normal_12	-2.5479323
KRT16	Normal_12	-0.5713223
KRT5	Normal_12	0.9471053
PERP	Normal_12	0.4657133
NTS	Normal_12	-2.6620043
HPGD	Normal_12	1.5945493
MFAP4	Normal_12	0.5926363
SLC2A1	Normal_13	-1.6076483
NBPF14	Normal_13	-0.0892673
SPRR2C	Normal_13	-0.1893513
TSHZ2	Normal_13	1.8147553
ALDH3A1	Normal_13	-3.5313733
PEBP4	Normal_13	0.2387873
AKR1C3	Normal_13	-3.3364283
FMO2	Normal_13	3.1833283
PVRL4	Normal_13	-0.0740013
FAM75A1	Normal_13	1.6562683
C1orf187	Normal_13	-1.6803823
COL1A1	Normal_13	-1.9323613
HBE1	Normal_13	0.6452413
TP63	Normal_13	0.0607393
SFTPC	Normal_13	1.3362833
BBC3	Normal_13	-0.2498223
ALDH3B2	Normal_13	-0.3845843
SPRR3	Normal_13	-0.2740413
S1PR1	Normal_13	2.5578793
KRT17	Normal_13	-0.8059133
ADRB1	Normal_13	2.6624333
KRT14	Normal_13	-1.3808223
SPRR2G	Normal_13	-0.3845843
LYPD3	Normal_13	-0.6574453
AKR1C2	Normal_13	-2.45330663333333
IGSF10	Normal_13	2.9405433
PVRL1	Normal_13	-0.7636603
SPRR1B	Normal_13	0.3635763
WDR72	Normal_13	-0.3733273
FABP4	Normal_13	1.5444853
LOC100132639	Normal_13	-0.3566063
SERPINB3	Normal_13	-0.5842413
FGF11	Normal_13	-1.7858753
KRT13	Normal_13	-0.7754018
LOC729070	Normal_13	0.8065303
TTK	Normal_13	-2.5907453
GJB2	Normal_13	0.1070183
CLCA2	Normal_13	0.3470993
PI4KAP1	Normal_13	1.7878503
PFN2	Normal_13	-2.1648843
SFTPH	Normal_13	2.4789723
EPAS1	Normal_13	1.9467313
AGER	Normal_13	1.5043663
LOC346085	Normal_13	-2.3147333
SFN	Normal_13	-0.5022603
DSG3	Normal_13	-0.0693525
AQP4	Normal_13	3.0814613
KRT15	Normal_13	-0.7636603
MMP12	Normal_13	0.1361913
CTHRC1	Normal_13	-2.5228413
ADH1B	Normal_13	2.8633443
PI3	Normal_13	-0.7858753
CDH5	Normal_13	1.6144743
SPRR1A	Normal_13	-0.1520033
AKR1B10	Normal_13	-2.6170563
PTPRZ1	Normal_13	-0.2092283
TENC1	Normal_13	1.0538063
MMP10	Normal_13	0.1479583
ADH1C	Normal_13	1.9202933
COL3A1	Normal_13	-1.1778823
SCGB1A1	Normal_13	0.0482363
FHL1	Normal_13	2.0111383
SPP1	Normal_13	-3.2792843
LAD1	Normal_13	0.4146773
CLDN18	Normal_13	2.0197023
CDCA5	Normal_13	-2.4659383
KRT16	Normal_13	-0.1632683
KRT5	Normal_13	0.4510133
PERP	Normal_13	-0.1218633
NTS	Normal_13	-2.5907453
HPGD	Normal_13	2.2421453
MFAP4	Normal_13	0.8559903
SLC2A1	Normal_14	-1.95733696666667
NBPF14	Normal_14	-0.4739313
SPRR2C	Normal_14	-0.3183263
TSHZ2	Normal_14	0.3673713
ALDH3A1	Normal_14	-2.8085638
PEBP4	Normal_14	1.2992453
AKR1C3	Normal_14	-2.7661123
FMO2	Normal_14	3.4784543
PVRL4	Normal_14	-0.2344653
FAM75A1	Normal_14	2.1137003
C1orf187	Normal_14	-1.5864063
COL1A1	Normal_14	-2.0291463
HBE1	Normal_14	-0.6281623
TP63	Normal_14	0.1544543
SFTPC	Normal_14	1.4693653
BBC3	Normal_14	-0.0394883
ALDH3B2	Normal_14	-0.6038413
SPRR3	Normal_14	-0.3327893
S1PR1	Normal_14	1.2294963
KRT17	Normal_14	-0.8008773
ADRB1	Normal_14	0.7899383
KRT14	Normal_14	-1.9771003
SPRR2G	Normal_14	-0.4227523
LYPD3	Normal_14	-0.4961423
AKR1C2	Normal_14	-2.28914463333333
IGSF10	Normal_14	3.4730083
PVRL1	Normal_14	-0.5929193
SPRR1B	Normal_14	0.190834
WDR72	Normal_14	-0.5521563
FABP4	Normal_14	2.7880593
LOC100132639	Normal_14	-0.2463953
SERPINB3	Normal_14	-0.4579903
FGF11	Normal_14	-1.4422223
KRT13	Normal_14	-1.0408988
LOC729070	Normal_14	2.6420083
TTK	Normal_14	-2.7958593
GJB2	Normal_14	-0.5374243
CLCA2	Normal_14	0.1440463
PI4KAP1	Normal_14	1.9294123
PFN2	Normal_14	-2.1456053
SFTPH	Normal_14	3.0614313
EPAS1	Normal_14	1.4451973
AGER	Normal_14	1.6420083
LOC346085	Normal_14	-2.4035423
SFN	Normal_14	-1.4266253
DSG3	Normal_14	-0.1336205
AQP4	Normal_14	3.0030003
KRT15	Normal_14	-0.7107563
MMP12	Normal_14	-0.2740413
CTHRC1	Normal_14	-2.1778823
ADH1B	Normal_14	4.0493693
PI3	Normal_14	-0.3183263
CDH5	Normal_14	1.5002923
SPRR1A	Normal_14	-0.0439433
AKR1B10	Normal_14	-2.1140353
PTPRZ1	Normal_14	-0.3529163
TENC1	Normal_14	1.6480053
MMP10	Normal_14	-0.2532573
ADH1C	Normal_14	3.1898253
COL3A1	Normal_14	-1.2933593
SCGB1A1	Normal_14	-1.6082323
FHL1	Normal_14	2.1554253
SPP1	Normal_14	-3.2515393
LAD1	Normal_14	0.3662523
CLDN18	Normal_14	2.6843703
CDCA5	Normal_14	-3.0115883
KRT16	Normal_14	-1.0203403
KRT5	Normal_14	0.1176953
PERP	Normal_14	-0.5458243
NTS	Normal_14	-3.1976003
HPGD	Normal_14	2.0996323
MFAP4	Normal_14	1.1414333
SLC2A1	Normal_15	-2.1882473
NBPF14	Normal_15	0.3829443
SPRR2C	Normal_15	0.2252753
TSHZ2	Normal_15	0.9992783
ALDH3A1	Normal_15	-2.8335633
PEBP4	Normal_15	0.2570113
AKR1C3	Normal_15	-2.4035423
FMO2	Normal_15	3.0678113
PVRL4	Normal_15	0.6031223
FAM75A1	Normal_15	0.9130333
C1orf187	Normal_15	-1.3075733
COL1A1	Normal_15	-1.6665763
HBE1	Normal_15	0.1453513
TP63	Normal_15	1.7655353
SFTPC	Normal_15	1.3967083
BBC3	Normal_15	-0.3327893
ALDH3B2	Normal_15	-0.3733273
SPRR3	Normal_15	0.0129263
S1PR1	Normal_15	1.3589503
KRT17	Normal_15	-0.9434163
ADRB1	Normal_15	1.5969353
KRT14	Normal_15	-1.5994623
SPRR2G	Normal_15	0.0949123
LYPD3	Normal_15	-0.4961423
AKR1C2	Normal_15	-2.0692673
IGSF10	Normal_15	2.8914193
PVRL1	Normal_15	-0.6780723
SPRR1B	Normal_15	0.0802295
WDR72	Normal_15	-0.2567003
FABP4	Normal_15	2.7484613
LOC100132639	Normal_15	-0.2740413
SERPINB3	Normal_15	0.0229003
FGF11	Normal_15	-1.5104573
KRT13	Normal_15	-0.6828278
LOC729070	Normal_15	1.0758753
TTK	Normal_15	-2.5907453
GJB2	Normal_15	-0.2226333
CLCA2	Normal_15	0.2400093
PI4KAP1	Normal_15	2.0335113
PFN2	Normal_15	-1.5022603
SFTPH	Normal_15	3.0660893
EPAS1	Normal_15	0.8575833
AGER	Normal_15	1.2636353
LOC346085	Normal_15	-2.3364283
SFN	Normal_15	-1.3921373
DSG3	Normal_15	-0.065797
AQP4	Normal_15	3.5003518
KRT15	Normal_15	-0.5187013
MMP12	Normal_15	-0.0558913
CTHRC1	Normal_15	-1.5479323
ADH1B	Normal_15	2.9472923
PI3	Normal_15	-0.6943213
CDH5	Normal_15	1.5150063
SPRR1A	Normal_15	-0.3959293
AKR1B10	Normal_15	-3.0831413
PTPRZ1	Normal_15	-0.1746213
TENC1	Normal_15	1.0840643
MMP10	Normal_15	-0.2009133
ADH1C	Normal_15	2.2663373
COL3A1	Normal_15	-1.3997303
SCGB1A1	Normal_15	1.7600083
FHL1	Normal_15	1.9034243
SPP1	Normal_15	-1.0770413
LAD1	Normal_15	0.1699253
CLDN18	Normal_15	2.7557423
CDCA5	Normal_15	-3.0469213
KRT16	Normal_15	-0.9077933
KRT5	Normal_15	0.3080113
PERP	Normal_15	0.4573323
NTS	Normal_15	-2.3219283
HPGD	Normal_15	2.0972743
MFAP4	Normal_15	0.2916043
SLC2A1	Normal_16	-2.0845653
NBPF14	Normal_16	-0.4208203
SPRR2C	Normal_16	-0.0954203
TSHZ2	Normal_16	1.4678013
ALDH3A1	Normal_16	-2.5655368
PEBP4	Normal_16	1.2642363
AKR1C3	Normal_16	-2.0232703
FMO2	Normal_16	2.5454743
PVRL4	Normal_16	0.1570443
FAM75A1	Normal_16	1.8118823
C1orf187	Normal_16	-1.1844253
COL1A1	Normal_16	-1.5228413
HBE1	Normal_16	-1.2792843
TP63	Normal_16	0.8196683
SFTPC	Normal_16	1.6951033
BBC3	Normal_16	0.2053933
ALDH3B2	Normal_16	0.0313953
SPRR3	Normal_16	-0.5207693
S1PR1	Normal_16	1.6092993
KRT17	Normal_16	-0.6943213
ADRB1	Normal_16	-0.0159583
KRT14	Normal_16	-1.6620043
SPRR2G	Normal_16	0.1890343
LYPD3	Normal_16	-0.4679323
AKR1C2	Normal_16	-1.69926063333333
IGSF10	Normal_16	3.7428693
PVRL1	Normal_16	-0.8262333
SPRR1B	Normal_16	0.1549028
WDR72	Normal_16	-0.2042333
FABP4	Normal_16	2.4483723
LOC100132639	Normal_16	-0.3346073
SERPINB3	Normal_16	0.1479583
FGF11	Normal_16	-2.0469213
KRT13	Normal_16	-1.1710063
LOC729070	Normal_16	1.1163653
TTK	Normal_16	-2.6438563
GJB2	Normal_16	-0.4481153
CLCA2	Normal_16	0.2963113
PI4KAP1	Normal_16	1.9829483
PFN2	Normal_16	-1.3291603
SFTPH	Normal_16	2.5981273
EPAS1	Normal_16	0.3265373
AGER	Normal_16	1.1446993
LOC346085	Normal_16	-1.2722973
SFN	Normal_16	-2.1976003
DSG3	Normal_16	-0.2728913
AQP4	Normal_16	2.9813483
KRT15	Normal_16	-0.6438563
MMP12	Normal_16	0.1322483
CTHRC1	Normal_16	-1.7178573
ADH1B	Normal_16	3.3626103
PI3	Normal_16	-1.1234343
CDH5	Normal_16	1.0440443
SPRR1A	Normal_16	-0.0543923
AKR1B10	Normal_16	-2.8677523
PTPRZ1	Normal_16	-0.1729943
TENC1	Normal_16	1.2122583
MMP10	Normal_16	-0.3714603
ADH1C	Normal_16	3.0506763
COL3A1	Normal_16	-0.4441843
SCGB1A1	Normal_16	1.7150153
FHL1	Normal_16	2.0610853
SPP1	Normal_16	-3.2108973
LAD1	Normal_16	0.1163653
CLDN18	Normal_16	2.2292803
CDCA5	Normal_16	-2.7858753
KRT16	Normal_16	-0.7612133
KRT5	Normal_16	0.1096953
PERP	Normal_16	-0.0365263
NTS	Normal_16	-2.0649173
HPGD	Normal_16	1.0779273
MFAP4	Normal_16	1.7437303
SLC2A1	Normal_17	-1.94597563333333
NBPF14	Normal_17	0.4761223
SPRR2C	Normal_17	-0.0086823
TSHZ2	Normal_17	1.0200583
ALDH3A1	Normal_17	-2.5393248
PEBP4	Normal_17	-0.9296113
AKR1C3	Normal_17	-3.2653453
FMO2	Normal_17	3.2433643
PVRL4	Normal_17	0.0468403
FAM75A1	Normal_17	1.1210153
C1orf187	Normal_17	-1.4779443
COL1A1	Normal_17	-1.5022603
HBE1	Normal_17	-1.1909973
TP63	Normal_17	0.6906413
SFTPC	Normal_17	0.2570113
BBC3	Normal_17	-0.2670803
ALDH3B2	Normal_17	-1.1140353
SPRR3	Normal_17	-0.5799223
S1PR1	Normal_17	-0.4613838
KRT17	Normal_17	-0.4227523
ADRB1	Normal_17	0.3448283
KRT14	Normal_17	-1.9268653
SPRR2G	Normal_17	0.4698863
LYPD3	Normal_17	-0.9351173
AKR1C2	Normal_17	-2.41981263333333
IGSF10	Normal_17	1.5079213
PVRL1	Normal_17	-1.0145003
SPRR1B	Normal_17	0.0189075
WDR72	Normal_17	-0.5395203
FABP4	Normal_17	1.1070183
LOC100132639	Normal_17	-0.6326293
SERPINB3	Normal_17	-0.4779443
FGF11	Normal_17	-1.8059133
KRT13	Normal_17	-1.0912753
LOC729070	Normal_17	0.3583963
TTK	Normal_17	-3.0469213
GJB2	Normal_17	-0.6126373
CLCA2	Normal_17	0.1544543
PI4KAP1	Normal_17	0.0384363
PFN2	Normal_17	-1.9434163
SFTPH	Normal_17	1.3207733
EPAS1	Normal_17	0.1583373
AGER	Normal_17	1.6355223
LOC346085	Normal_17	-2.9885043
SFN	Normal_17	-2.0649173
DSG3	Normal_17	0.1768625
AQP4	Normal_17	1.5468108
KRT15	Normal_17	-0.4679323
MMP12	Normal_17	0.0271543
CTHRC1	Normal_17	-2.2108973
ADH1B	Normal_17	2.6102283
PI3	Normal_17	-0.6529013
CDH5	Normal_17	-0.1552133
SPRR1A	Normal_17	0.5139963
AKR1B10	Normal_17	-2.6896603
PTPRZ1	Normal_17	-0.5395203
TENC1	Normal_17	1.4781953
MMP10	Normal_17	-0.4150373
ADH1C	Normal_17	1.7899383
COL3A1	Normal_17	-1.5479323
SCGB1A1	Normal_17	1.0799753
FHL1	Normal_17	1.4900573
SPP1	Normal_17	-1.7178573
LAD1	Normal_17	-0.1959463
CLDN18	Normal_17	1.0447443
CDCA5	Normal_17	-3.0709673
KRT16	Normal_17	-0.9159363
KRT5	Normal_17	0.6915343
PERP	Normal_17	-0.7178573
NTS	Normal_17	-2.4900513
HPGD	Normal_17	1.2010063
MFAP4	Normal_17	-0.0232703
SLC2A1	Normal_18	-1.4850393
NBPF14	Normal_18	-0.2618813
SPRR2C	Normal_18	-0.0424573
TSHZ2	Normal_18	1.7350893
ALDH3A1	Normal_18	-2.4719973
PEBP4	Normal_18	1.0614313
AKR1C3	Normal_18	-2.1520033
FMO2	Normal_18	2.6649383
PVRL4	Normal_18	-0.2670803
FAM75A1	Normal_18	2.2957233
C1orf187	Normal_18	-1.7273803
COL1A1	Normal_18	-1.9885043
HBE1	Normal_18	1.4227713
TP63	Normal_18	0.1070183
SFTPC	Normal_18	1.4620523
BBC3	Normal_18	0.1570443
ALDH3B2	Normal_18	-0.6919893
SPRR3	Normal_18	-0.2722973
S1PR1	Normal_18	2.1928818
KRT17	Normal_18	-0.5187013
ADRB1	Normal_18	2.3462483
KRT14	Normal_18	-1.4540323
SPRR2G	Normal_18	-0.1281563
LYPD3	Normal_18	-0.2159153
AKR1C2	Normal_18	-1.96052796666667
IGSF10	Normal_18	3.4802653
PVRL1	Normal_18	-0.3382503
SPRR1B	Normal_18	1.0858838
WDR72	Normal_18	-0.4679323
FABP4	Normal_18	2.2144363
LOC100132639	Normal_18	-0.3473993
SERPINB3	Normal_18	-0.1552133
FGF11	Normal_18	-1.3808223
KRT13	Normal_18	-0.9933258
LOC729070	Normal_18	1.2892443
TTK	Normal_18	-2.5563933
GJB2	Normal_18	-0.2276923
CLCA2	Normal_18	0.17887430000000001
PI4KAP1	Normal_18	1.5355553
PFN2	Normal_18	-1.7131193
SFTPH	Normal_18	2.6644833
EPAS1	Normal_18	2.2262003
AGER	Normal_18	1.5479433
LOC346085	Normal_18	-2.5228413
SFN	Normal_18	-1.2792843
DSG3	Normal_18	-0.072662
AQP4	Normal_18	2.8378593
KRT15	Normal_18	-0.5104573
MMP12	Normal_18	0.1137003
CTHRC1	Normal_18	-2.1140353
ADH1B	Normal_18	3.5938323
PI3	Normal_18	-0.5820803
CDH5	Normal_18	1.9807573
SPRR1A	Normal_18	0.0172093
AKR1B10	Normal_18	-2.5479323
PTPRZ1	Normal_18	-0.1297343
TENC1	Normal_18	1.4259963
MMP10	Normal_18	0.3021733
ADH1C	Normal_18	3.0356243
COL3A1	Normal_18	-0.7154863
SCGB1A1	Normal_18	0.1570443
FHL1	Normal_18	2.1186923
SPP1	Normal_18	-3.5063533
LAD1	Normal_18	-0.1424173
CLDN18	Normal_18	2.1599523
CDCA5	Normal_18	-2.4500843
KRT16	Normal_18	-0.5606433
KRT5	Normal_18	0.0114963
PERP	Normal_18	-0.1297343
NTS	Normal_18	-2.7466163
HPGD	Normal_18	2.7207163
MFAP4	Normal_18	1.3334243
SLC2A1	Normal_19	-2.64950163333333
NBPF14	Normal_19	-0.8651223
SPRR2C	Normal_19	-0.5670413
TSHZ2	Normal_19	0.9811223
ALDH3A1	Normal_19	-2.9397553
PEBP4	Normal_19	0.9597703
AKR1C3	Normal_19	-2.5063533
FMO2	Normal_19	2.9726933
PVRL4	Normal_19	-0.3808223
FAM75A1	Normal_19	1.3138263
C1orf187	Normal_19	-1.7083963
COL1A1	Normal_19	-2.0831413
HBE1	Normal_19	0.8204853
TP63	Normal_19	-0.5269923
SFTPC	Normal_19	1.3190403
BBC3	Normal_19	-0.4092783
ALDH3B2	Normal_19	-0.5125143
SPRR3	Normal_19	-0.6780723
S1PR1	Normal_19	1.4360498
KRT17	Normal_19	-1.1746213
ADRB1	Normal_19	1.4211563
KRT14	Normal_19	-2.2042333
SPRR2G	Normal_19	-0.4699293
LYPD3	Normal_19	-0.8943223
AKR1C2	Normal_19	-2.30344696666667
IGSF10	Normal_19	3.0787813
PVRL1	Normal_19	-0.8546493
SPRR1B	Normal_19	-0.3882788
WDR72	Normal_19	-0.8416633
FABP4	Normal_19	1.9942183
LOC100132639	Normal_19	-0.5542733
SERPINB3	Normal_19	-0.9213903
FGF11	Normal_19	-1.8211263
KRT13	Normal_19	-1.2066728
LOC729070	Normal_19	1.9034243
TTK	Normal_19	-3.0954203
GJB2	Normal_19	-1.4150373
CLCA2	Normal_19	-0.3255393
PI4KAP1	Normal_19	1.9259993
PFN2	Normal_19	-2.3219283
SFTPH	Normal_19	2.7314003
EPAS1	Normal_19	1.1551023
AGER	Normal_19	1.4547023
LOC346085	Normal_19	-2.7563313
SFN	Normal_19	-1.9601603
DSG3	Normal_19	-0.2556208
AQP4	Normal_19	2.9968703
KRT15	Normal_19	-1.1015983
MMP12	Normal_19	-0.2498223
CTHRC1	Normal_19	-2.4111953
ADH1B	Normal_19	3.0607393
PI3	Normal_19	-0.8783213
CDH5	Normal_19	1.2533843
SPRR1A	Normal_19	-0.6192713
AKR1B10	Normal_19	-3.3219283
PTPRZ1	Normal_19	-0.5734673
TENC1	Normal_19	1.1921943
MMP10	Normal_19	-0.3603053
ADH1C	Normal_19	2.4617903
COL3A1	Normal_19	-1.2688173
SCGB1A1	Normal_19	0.1928253
FHL1	Normal_19	1.8906413
SPP1	Normal_19	-3.7958593
LAD1	Normal_19	-0.2915923
CLDN18	Normal_19	2.8617573
CDCA5	Normal_19	-3.8783213
KRT16	Normal_19	-1.4422223
KRT5	Normal_19	-0.2125683
PERP	Normal_19	-0.4111953
NTS	Normal_19	-2.8059133
HPGD	Normal_19	2.7769463
MFAP4	Normal_19	0.9656923
SLC2A1	Normal_20	-1.58286457266667
NBPF14	Normal_20	0.896412814
SPRR2C	Normal_20	-0.126712935
TSHZ2	Normal_20	0.952046777
ALDH3A1	Normal_20	-2.3946760235
PEBP4	Normal_20	0.261160532
AKR1C3	Normal_20	-2.348784054
FMO2	Normal_20	2.412015121
PVRL4	Normal_20	0.392949879
FAM75A1	Normal_20	1.45560653
C1orf187	Normal_20	-0.631428599
COL1A1	Normal_20	-0.727716307
HBE1	Normal_20	-0.071287085
TP63	Normal_20	0.263034406
SFTPC	Normal_20	1.856537198
BBC3	Normal_20	0.830074999
ALDH3B2	Normal_20	0.75186717
SPRR3	Normal_20	-0.223471072
S1PR1	Normal_20	1.8151444525
KRT17	Normal_20	-0.582794664
ADRB1	Normal_20	0.757702052
KRT14	Normal_20	-0.879873922
SPRR2G	Normal_20	-0.027834208
LYPD3	Normal_20	-0.172676662
AKR1C2	Normal_20	-1.427962462
IGSF10	Normal_20	3.238201443
PVRL1	Normal_20	-0.339486466
SPRR1B	Normal_20	0.432593897
WDR72	Normal_20	-0.165939153
FABP4	Normal_20	1.085046733
LOC100132639	Normal_20	0.17884808
SERPINB3	Normal_20	0.119739244
FGF11	Normal_20	-1.426897654
KRT13	Normal_20	-0.8054727155
LOC729070	Normal_20	1.510369245
TTK	Normal_20	-1.782154368
GJB2	Normal_20	0.653965288
CLCA2	Normal_20	0.243946829
PI4KAP1	Normal_20	2.074363935
PFN2	Normal_20	-2.106447721
SFTPH	Normal_20	2.499910223
EPAS1	Normal_20	1.063659979
AGER	Normal_20	1.100896065
LOC346085	Normal_20	-1.70743669
SFN	Normal_20	-0.861023587
DSG3	Normal_20	0.021239658
AQP4	Normal_20	3.3734116335
KRT15	Normal_20	-0.355777225
MMP12	Normal_20	0.479119954
CTHRC1	Normal_20	-0.914865475
ADH1B	Normal_20	2.949474839
PI3	Normal_20	-0.101833497
CDH5	Normal_20	1.201514832
SPRR1A	Normal_20	-0.488747185
AKR1B10	Normal_20	-1.85391897
PTPRZ1	Normal_20	0.258574758
TENC1	Normal_20	1.143808349
MMP10	Normal_20	-0.095758983
ADH1C	Normal_20	2.516289645
COL3A1	Normal_20	-0.12485983
SCGB1A1	Normal_20	-2.429826518
FHL1	Normal_20	2.062681912
SPP1	Normal_20	-2.120544522
LAD1	Normal_20	0.128324097
CLDN18	Normal_20	2.242188218
CDCA5	Normal_20	-1.742656706
KRT16	Normal_20	-0.418455898
KRT5	Normal_20	-0.543320227
PERP	Normal_20	-0.137120897
NTS	Normal_20	-2.628639753
HPGD	Normal_20	2.295676513
MFAP4	Normal_20	1.644040156
SLC2A1	Normal_21	-1.02496998366667
NBPF14	Normal_21	-0.006886386
SPRR2C	Normal_21	0.230030139
TSHZ2	Normal_21	0.815402948
ALDH3A1	Normal_21	-2.5051051505
PEBP4	Normal_21	1.066968892
AKR1C3	Normal_21	-2.052246705
FMO2	Normal_21	2.979977697
PVRL4	Normal_21	0.191817607
FAM75A1	Normal_21	1.750513747
C1orf187	Normal_21	-1.004011468
COL1A1	Normal_21	-1.322051767
HBE1	Normal_21	1.229621726
TP63	Normal_21	2
SFTPC	Normal_21	1.903535269
BBC3	Normal_21	0.341036918
ALDH3B2	Normal_21	-0.11402771
SPRR3	Normal_21	-0.353897204
S1PR1	Normal_21	1.8383982175
KRT17	Normal_21	-0.631240184
ADRB1	Normal_21	0.199937571
KRT14	Normal_21	-1.221038414
SPRR2G	Normal_21	0.249778309
LYPD3	Normal_21	-0.573337176
AKR1C2	Normal_21	-1.35133770433333
IGSF10	Normal_21	3.914745954
PVRL1	Normal_21	-0.619508013
SPRR1B	Normal_21	0.304721912
WDR72	Normal_21	-0.256339753
FABP4	Normal_21	2.041967645
LOC100132639	Normal_21	-0.158967041
SERPINB3	Normal_21	-0.272882192
FGF11	Normal_21	-1.713232745
KRT13	Normal_21	-1.3016398705
LOC729070	Normal_21	1.764765377
TTK	Normal_21	-2.341494263
GJB2	Normal_21	0.125141753
CLCA2	Normal_21	-0.003622588
PI4KAP1	Normal_21	1.677782411
PFN2	Normal_21	-1.633536005
SFTPH	Normal_21	3.000798172
EPAS1	Normal_21	1.032851475
AGER	Normal_21	1.875519497
LOC346085	Normal_21	-1.986987924
SFN	Normal_21	-1.809297946
DSG3	Normal_21	0.043784773
AQP4	Normal_21	2.985695165
KRT15	Normal_21	-0.350321534
MMP12	Normal_21	0.107077223
CTHRC1	Normal_21	-1.621043946
ADH1B	Normal_21	3.343652866
PI3	Normal_21	-0.463333056
CDH5	Normal_21	1.330037072
SPRR1A	Normal_21	-0.390980232
AKR1B10	Normal_21	-2.383110316
PTPRZ1	Normal_21	-0.156570256
TENC1	Normal_21	1.595693601
MMP10	Normal_21	-0.335603032
ADH1C	Normal_21	3.057938808
COL3A1	Normal_21	-0.815632851
SCGB1A1	Normal_21	2.645710554
FHL1	Normal_21	2.085660271
SPP1	Normal_21	-2.936725825
LAD1	Normal_21	-0.398358758
CLDN18	Normal_21	2.401275598
CDCA5	Normal_21	-2.346266545
KRT16	Normal_21	-0.5400088
KRT5	Normal_21	-0.570095438
PERP	Normal_21	-0.009353388
NTS	Normal_21	-2.726104602
HPGD	Normal_21	2.157379748
MFAP4	Normal_21	2.347246124
SLC2A1	Normal_22	-1.61941941133333
NBPF14	Normal_22	-0.478423439
SPRR2C	Normal_22	-0.141355849
TSHZ2	Normal_22	1.995901432
ALDH3A1	Normal_22	-2.296928429
PEBP4	Normal_22	1.096759597
AKR1C3	Normal_22	-2.77325459
FMO2	Normal_22	2.414838218
PVRL4	Normal_22	0.234754922
FAM75A1	Normal_22	1.602036014
